agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of representations made on behalf of the public to effectively address complaints,100,100,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of stakeholder consultations conducted with civil society,2,4,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of trainings accessed by staff within the governance programme,1,6,agency 06,ministry of parliamentary affairs and governance,output,administration,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,percentage of budgetary allocation expended,84.00%,,agency 06,ministry of parliamentary affairs and governance,output,efficiency,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of constitutional reform consultations completed across the country,0,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of persons completing mpag's international human rights law course,275,200,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 07 - PARLIAMENT OFFICE,071 - national assembly,number of parliamentary matters dealt with in accordance with the standing orders of the national assembly,82,140,agency 07,parliament office,output,governance,constitutional
AGENCY 07 - PARLIAMENT OFFICE,071 - national assembly,"timely reading, printing, gazetting and circulation of bills for consideration by the national assembly",10,34,agency 07,parliament office,output,governance,constitutional
AGENCY 07 - PARLIAMENT OFFICE,071 - national assembly,number of acts published,14,33,agency 07,parliament office,output,governance,constitutional
AGENCY 07 - PARLIAMENT OFFICE,071 - national assembly,number of verbatim reports produced - hansards and verbatim committee reports,27,80,agency 07,parliament office,output,governance,constitutional
AGENCY 08 - AUDIT OFFICE OF GUYANA,081 - office of the auditor general,auditor general's report is completed and submitted to parliament,1,1,agency 08,audit office of guyana,output,governance,constitutional
AGENCY 08 - AUDIT OFFICE OF GUYANA,081 - office of the auditor general,number of institutional strengthening initiatives undertaken,2,2,agency 08,audit office of guyana,output,governance,constitutional
AGENCY 08 - AUDIT OFFICE OF GUYANA,081 - office of the auditor general,pre-audit superannuation benefits for public officers,1160,1200,agency 08,audit office of guyana,output,administration,constitutional
AGENCY 08 - AUDIT OFFICE OF GUYANA,081 - office of the auditor general,number of active links created with regional and international audit institutions,4,4,agency 08,audit office of guyana,output,administration,constitutional
AGENCY 08 - AUDIT OFFICE OF GUYANA,081 - office of the auditor general,value for money audit reports completed and submitted to parliament,1,3,agency 08,audit office of guyana,outcome,economic development,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of officers promoted in the guyana police force,"679 (M:434, F:245)",560,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,"number of public servants promoted in the various ministries, regions, departments and agencies","693 (M:316, F:377)",500,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of public servants appointed,"387 (M:60, F:327)",300,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of superannuation benefits processed for public officers,"189 (M:47, F:142)",175,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of superannuation benefits processed for police officers,"99 (M:41, F:58)",95,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of disciplinary matters dealt with in the public sector,"36 (M:22, F:14)",24,agency 09,public and police service commissions,output,administration,constitutional
AGENCY 09 - PUBLIC AND POLICE SERVICE COMMISSIONS,091 - public and police service commission,number of disciplinary matters dealt with in the guyana police force,"10 (M:8, F:2)",10,agency 09,public and police service commissions,output,security_justice,constitutional
AGENCY 10 - TEACHING SERVICE COMMISSION,101 - teaching service commission,percentage of senior vacancies filled in keeping with moe vacancy list,0%,51%,agency 10,teaching service commission,output,administration,constitutional
AGENCY 10 - TEACHING SERVICE COMMISSION,101 - teaching service commission,percentage of junior vacancies filled in keeping with moe vacancy list,53%,75%,agency 10,teaching service commission,output,administration,constitutional
AGENCY 10 - TEACHING SERVICE COMMISSION,101 - teaching service commission,percentage of trained teachers appointed in keeping with the cpce graduate list,79%,82%,agency 10,teaching service commission,output,education,constitutional
AGENCY 10 - TEACHING SERVICE COMMISSION,101 - teaching service commission,percentage of senior acting appointments made in keeping with moe senior promotion list,100%,100%,agency 10,teaching service commission,output,administration,constitutional
AGENCY 10 - TEACHING SERVICE COMMISSION,101 - teaching service commission,"accurate database for teachers in the ten administrative regions - (number of transfers, name changes, re-grading, secondment, retirement, master’s, diploma)",24415,25500,agency 10,teaching service commission,output,administration,constitutional
AGENCY 11 - GUYANA ELECTIONS COMMISSION,111 - elections commission,number of cycles of continuous registration,2,2,agency 11,guyana elections commission,output,governance,constitutional
AGENCY 11 - GUYANA ELECTIONS COMMISSION,111 - elections commission,number of new registrants,12387,30870,agency 11,guyana elections commission,output,governance,constitutional
AGENCY 11 - GUYANA ELECTIONS COMMISSION,111 - elections commission,number of claims and objections period (preparation of official list of electors),2,2,agency 11,guyana elections commission,output,governance,constitutional
AGENCY 11 - GUYANA ELECTIONS COMMISSION,111 - elections commission,general and regional elections held,1,,agency 11,guyana elections commission,output,governance,constitutional
AGENCY 11 - GUYANA ELECTIONS COMMISSION,111 - elections commission,local government elections held,,1,agency 11,guyana elections commission,output,governance,constitutional
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,number of staff trained in specific areas,6,35,agency 13,ministry of local government and regional development,output,administration,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,completion of the local government sector strategy,0,0,agency 13,ministry of local government and regional development,output,governance,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,percentage of budgetary allocation expended,97%,100%,agency 13,ministry of local government and regional development,output,efficiency,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,establishment of local government data infrastructure,0,0,agency 13,ministry of local government and regional development,output,governance,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,completion of the molgrd strategic plan,0,1,agency 13,ministry of local government and regional development,output,governance,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,completion of sanitation sector plan,0,1,agency 13,ministry of local government and regional development,output,infrastructure_transport,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,131 - policy development and administration,establishment of the monitoring and evaluation framework,0,0,agency 13,ministry of local government and regional development,output,efficiency,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,133 - regional development,number of staff trained in specific areas,2,10,agency 13,ministry of local government and regional development,output,administration,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,133 - regional development,number of existing infrastructure improved,2,6,agency 13,ministry of local government and regional development,outcome,infrastructure_transport,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,133 - regional development,number of new infrastructure improved,1,4,agency 13,ministry of local government and regional development,outcome,infrastructure_transport,ministry
AGENCY 13 - MINISTRY OF LOCAL GOVERNMENT AND REGIONAL DEVELOPMENT ,134 - local government development,number of municipal landfills managed,15,15,agency 13,ministry of local government and regional development,output,infrastructure_transport,ministry
